time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-21T20:03:16.540Z,39.7981667,-123.2128333,-1.16,3.08,ml,59,39,0.09508,0.16,nc,nc73667331,2021-12-22T23:35:11.055Z,"3km E of Covelo, CA",earthquake,0.15,1.23,0.222,33,reviewed,nc,nc
2021-12-21T19:57:52.808Z,28.85650635,-98.14487592,9.219441732,3.2,ml,23,65,0.1663441942,0.3,tx,tx2021yyhp,2021-12-22T22:08:19.539Z,"18 km SW of Falls City, Texas",earthquake,1.3039734039999997,1.775573546,0.1,13,reviewed,tx,tx
2021-12-21T19:54:09.360Z,31.7176667,-115.9926667,4.98,2.5,ml,16,272,0.2888,0.23,ci,ci39892719,2021-12-21T22:46:03.040Z,"54km E of Maneadero, B.C., MX",earthquake,0.88,31.61,0.108,31,reviewed,ci,ci
2021-12-21T19:53:07.205Z,28.908,-98.2418,5,2.5,mb_lg,,115,0.497,0.53,us,us6000ge8y,2021-12-21T22:30:33.040Z,"23 km WSW of Falls City, Texas",earthquake,2.2,2,0.128,16,reviewed,us,us
2021-12-21T17:24:54.060Z,40.3076667,-124.6383333,20.87,3.23,ml,65,227,0.2711,0.2,nc,nc73667251,2021-12-23T01:01:11.331Z,"30km W of Petrolia, CA",earthquake,0.42,0.35,0.273,43,reviewed,nc,nc
2021-12-21T17:02:04.434Z,52.7516,-168.1985,46.23,4.2,mb,,139,0.682,1.1,us,us6000ge8g,2021-12-21T18:40:53.040Z,"49 km ESE of Nikolski, Alaska",earthquake,8,7.5,0.057,92,reviewed,us,us
2021-12-21T16:59:50.033Z,52.6313,-168.1716,35,3.8,mb,,292,0.757,0.43,us,us6000ge7s,2021-12-21T18:06:03.040Z,"57 km SE of Nikolski, Alaska",earthquake,6.3,2,0.114,20,reviewed,us,us
2021-12-21T16:50:37.070Z,40.4239998,-124.2986679,23.2,3.06,ml,18,214,0.1025,0.08,nc,nc73667231,2021-12-21T21:43:12.064Z,"11km N of Petrolia, CA",earthquake,0.91,0.4,0.325,14,automatic,nc,nc
2021-12-21T16:46:59.315Z,31.1095,142.3437,10,5,mb,,98,2.933,0.4,us,us6000ge6n,2021-12-21T17:53:04.040Z,"Izu Islands, Japan region",earthquake,10.8,1.9,0.051,125,reviewed,us,us
2021-12-21T16:42:40.741Z,31.2166,142.2805,10,4.9,mww,,93,2.821,0.43,us,us6000ge6k,2021-12-21T17:46:39.040Z,"Izu Islands, Japan region",earthquake,7.8,1.8,0.093,11,reviewed,us,us
2021-12-21T16:36:12.668Z,27.669,56.0938,10,4.6,mb,,53,2.714,0.64,us,us6000ge6h,2021-12-21T17:38:10.040Z,"56 km NNW of Bandar Abbas, Iran",earthquake,6.8,1.9,0.081,48,reviewed,us,us
2021-12-21T16:35:36.387Z,57.15,-150.7145,37.4,3.2,ml,,,,0.55,ak,ak021gbdipuu,2021-12-21T17:23:18.040Z,"107 km ESE of Chiniak, Alaska",earthquake,,21.1,,,automatic,ak,ak
2021-12-21T16:28:58.479Z,31.1571,142.2583,10,4.6,mb,,96,2.848,0.64,us,us6000ge6g,2021-12-21T17:17:30.040Z,"Izu Islands, Japan region",earthquake,10.8,1.9,0.069,65,reviewed,us,us
2021-12-21T16:16:54.829Z,31.6456,-104.2097,5,2.9,ml,,61,0.249,0.26,us,us6000ge6d,2021-12-21T22:19:38.040Z,"53 km NW of Toyah, Texas",earthquake,1.5,1.9,0.046,63,reviewed,us,us
2021-12-21T15:25:56.048Z,67.3369,-156.2963,0.9,3.2,ml,,,,0.55,ak,ak021gbcv6ku,2021-12-21T16:02:26.040Z,"54 km NNE of Kobuk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-12-21T14:53:34.931Z,18.5271,-73.9662,12.92,4.3,mb,,79,1.658,0.41,us,us6000ge5x,2021-12-22T19:16:00.642Z,"9 km WSW of Corail, Haiti",earthquake,6.2,5,0.111,26,reviewed,us,us
2021-12-21T14:46:06.254Z,-30.6993,-71.3523,39.41,4.5,mb,,92,0.244,0.27,us,us6000ge5v,2021-12-21T16:43:28.812Z,"18 km SW of Ovalle, Chile",earthquake,3.1,7.5,0.135,17,reviewed,us,us
2021-12-21T14:16:14.430Z,40.4711685,-124.2943344,26.23,3.25,ml,21,101,0.03321,0.09,nc,nc73667171,2021-12-21T19:55:17.169Z,"12km SSW of Ferndale, CA",earthquake,0.99,1.07,0.18,14,automatic,nc,nc
2021-12-21T14:09:48.440Z,40.3916664,-124.2770004,24.21,2.92,md,16,147,0.06984,0.09,nc,nc73667151,2021-12-21T17:35:11.518Z,"7km N of Petrolia, CA",earthquake,1.09,0.92,0.07,16,automatic,nc,nc
2021-12-21T13:35:53.583Z,31.4386,142.0954,10,4.4,mb,,141,2.555,0.71,us,us6000ge5l,2021-12-21T14:28:41.040Z,"Izu Islands, Japan region",earthquake,11.9,1.9,0.127,20,reviewed,us,us
2021-12-21T13:31:10.544Z,31.6622,-104.4093,5,2.6,ml,,71,0.078,0.35,us,us6000ge5k,2021-12-21T14:16:52.040Z,"57 km S of Whites City, New Mexico",earthquake,1,1.7,0.052,48,reviewed,us,us
2021-12-21T12:43:01.577Z,32.2161,142.3127,10,4.7,mb,,143,2.29,0.59,us,us6000ge5f,2021-12-21T13:10:46.040Z,"Izu Islands, Japan region",earthquake,8.3,1.7,0.133,17,reviewed,us,us
2021-12-21T12:29:38.920Z,17.9603,-66.597,13,2.5,md,16,135,0.083,0.13,pr,pr2021355003,2021-12-21T13:20:10.316Z,"6 km SSE of Ponce, Puerto Rico",earthquake,0.4,0.27,0.13,3,reviewed,pr,pr
2021-12-21T11:42:49.820Z,40.29,-124.6135,17.49,2.77,md,27,255,0.2072,0.18,nc,nc73667046,2021-12-22T08:28:11.094Z,"28km W of Petrolia, CA",earthquake,0.66,0.75,0.138,20,reviewed,nc,nc
2021-12-21T10:57:34.665Z,40.3411,-125.0117,10,2.6,ml,,251,0.684,0.5,us,us6000ge55,2021-12-22T07:58:51.040Z,"68 km WSW of Ferndale, California",earthquake,5.2,2,0.059,38,reviewed,us,us
